company,country,product_details_raw,contacts_raw
Capital Bank (CAP)-Jordan,Jordan, SAP-ETL; SAP-BO; BankBI-IFRS9; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI-CRS;, Samer Haddad; Anas Defallah; Mazen Melhem; Ahmad Abuhantash; Mohammad Quraini; Mohammad Ayasra; Faten Kayyali; Raed Kashkash; Rami Abu Hussein; Mohammad Anabtawi; Mahmoud Elryalat; Mahmud Hanbali; Amal Saleh; Mamoun Issa; Hazem Odeh; Samer Wadi; Maram Al- Halabieh;
Baghdad Bank (BGD),Iraq, SAP-BO; BankBI-RBA; BankBI-FATCA; BankBI-DWH; BankBI-Credit Bureau;, Nida Ibrahim; Kamel Abu hijileh; Omar Hussein; Mohammed Jihad; Samer Enad; Rana Shawqi;
COMMERCIAL BANK OF JORDAN (JCB),Jordan, SAP-ETL; SAP-BO; Oracle License; Legal; BankBPM-Remedial; BankBPM-Real Estate; BankBPM-COL; BankBI-RR; BankBI-DWH;, Shurooq Yassin; Sara Younis; Mohammad Shweiki; Alaa Shoubaki; Mersyan Srour; Omar Odeh; Samar Abu Dabbassi; Nadim Moushar; Faris Alazab; Mohammad Ghannam; JCB-MIS -Team; Basheer Al -Farhat;
Syria Gulf Bank - (SGB),Syria, SAP-BO; BankBPM-DM; BankBI-DWH; BankBI-AML;, Wael Sharba; Bilal Al-Doughli; Manar Abo Dahab; Hla Ahmad; SGB _ Piotech; SGB_piotech _crm;
Cairo Amman Bank (CAB),Jordan, BankBI-FATCA;, Hala Kreshan; Khader Yacoub; Mohammad Mousa; Shadi Al- Watanieh; Manar Nasser; Islam Faroun; Shereen Marmash; Shadi Lahlouh; Samer Sowan;
Arab Jordan Investment Bank (AJB),Jordan, W4-Licenses; SAP-ETL; SAP-BO; BankBPM-PSO; BankBPM-DM; BankBPM-COL; BankBI-RR; BankBI-MIS; BankBI-GOAML; BankBI-FATCA; BankBI-DWH;, AJIB MIS; Dina Kreishan; Bassam Ismail; Saif Najdawi; Ahmad Badran; Abed Abunameh; Abdullah Omar; Basel Hannoun; Deema Najjar; Fadi Jaber; Akram Khair; Ziyad Yousef; Mohammed Elkahlout; Nidal Ewidah; Miran Naaji; Ghaith Mango; Marwan Kharrosheh; Faris Hanna; Marina Simonian; Selin Shilleh; Anita Ashram; Rawan Asakrieh; Alaa Abu Ayead; Wessam Samawi; Lina Alali; Eba'a Alkharmah; Zaina Abu Saad; Aysar Hammoudeh;
Housing Bank for trade (HBT),Jordan, SAP-BO; Salary; Legal; BankBPM-ScreenDev; BankBPM-Remedial; BankBPM-Real Estate; BankBPM-Payroll; BankBPM-COL; BankBI-RR; BankBI-RBA; BankBI-CRS;, Ahmad Al- Sayed; Hadeel Samaha; Mohamad Radawn; Tariq Akleek; Ahmad alhbeidi; Malik Murafi; Salam Bin Tareef; Dina Al-Kharabsheh; Ahmad Alkurdi; Renad Fadda; Abdel-Rahman Kushha; Burhan Rizik; Diyaa Ahmad; Basel Musallam; Mo'men Albayaydah; Sawsan Qiqieh; Loiy Mosleh; Ashraf Awwad; Sager Faouri; Reema Mohammad; Jihad Darwazeh; Lilas Shahin; Ahmad Jadallah;
International Bank For Trade (IBT),Syria, SAP-BO; BankBI-MIS;, Maha Salman; Rahaf Aboshkeer; it-dept -; Wassim Haddad;
Housing Bank for Trade &Finance(HBP),Palestine, SAP-BO; Oracle License; BankBPM-KYC/AC; BankBI-RBA; BankBI-FATCA; BankBI-DWH;, Ramzi douleh; Ziad Aburmais; Hadeel Qatawi; Ohoud AbuAlsebaa; Ishaq Serhan; Layth Irshaid; Ahmad Merie;
Palestine Islamic Bank (PIB),Palestine, BankBI-FATCA;, Manaa Faqeeh; Akram DarSaleh; Rawan Taher; Mohammed Hajjaj; Mohammad Faqih; Mohammad Musleh;
Ashur International Bank (ASH),Iraq, BankBI-FATCA; BankBI-DWH; BankBI-AML;, Humam aldeeb; laith alkahdimi; Ghazi Ahmed; Hanar Ibrahim;
Bank of Jordan (BOJ),Jordan, SAP-BO; Legal; BankBI-RR; BankBI-IFRS9; BankBI-FATCA; BankBI-CRS;, Hussam Alkatoot; Muhannad Dagash; Adnan Ramadan; it department -; Aya Zarour; Luay Isealeh; Rawan Salhab;
Gulf Commercial Bank (GCB),Iraq, SAP-BO; Oracle License; BankBPM-Loans; BankBI-RBA; BankBI-MIS; BankBI-FATCA; BankBI-DWH; BankBI-AML;, Azher -; GCB Support; Ahmed Ibraheem; Muhammad Khalid; Maher Mardini;
Industrial Development (IDBE),Egypt, SAP-ETL; SAP-BO; BankBI-RBA; BankBI-FATCA; BankBI-DWH; BankBI-AML;, Manar samy; App Team; Abdallah Ramadan; Abeer Adel; Fatma Younis; Salma Khaled; Aya Hany; Aya Sadek; Menna Osama;
Safwa Bank (JDI),Jordan, SAP-BO; CRM; BankBPM-Loans; BankBPM-COL; BankBI-RR; BankBI-IFRS9; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI-CRS; BankBI-AML;, Tawfiq Abushareef; Ahmad Heyari; Feras Issa; Shireen Antaki; Abdullah Alotoum; Mohammad Abuisbieh; Juman AL- Omari; Omar AL- Khrissat; Duaa Aljnini;
Investment Bank of Iraq (IBI),Iraq, Oracle License; BankBPM-DM; BankBI-MIS; BankBI-FATCA; BankBI-DWH; BankBI-AML;, Info IBI; Firas -; Bader -; Dania Sameem; Karar Mohammed; Hussein Alaa;
Al Quds Bank (QDS),Palestine, SAP-BO; BankBI-DWH;, Hadi hosnia; Mosab tartir; Amjad Fadly; Alaa Alaa.Titi; Bahaa Qutairi; Alaa Sulaiman; Compliance Department; Rana Masoud;
Palestine Investment Bank (PIV),Palestine, SAP-BO; BankBI-RBA; BankBI-MIS; BankBI-FATCA; BankBI-DWH; BankBI-AML;, Moayad ghunim; Walid Wahbeh; Salah Faris; Banks -; Baker Beladi; Kawthar Husain; Mousab Arouri; Safwan Jibreel; AbedAlRahman Suliman; Mohammad Hamayel; Burhan Hammad; Salman Awaisa; Mohammad Abusal; Allam Zaqqa;
Arab Bank PLC (ARB),Jordan, SAP-BO; BankBI-RR;, GMITGMISDATA -; Lilas Shaheen; Shatha Musallam; Rodaina Alkhzouz; Ali AbuZayid;
Bank of Jordan - Syria (BOS),Jordan, BankBI-RR;, Alaa Zatar; Kareem Al-Moubyed; Rwand Jamous; Mohamed Ehsan;
Al-Tasheelat Jordan (JTF),Jordan, SAP-BO; BankBI-MIS;, Riyad Odeh; Fatmah kharabsheh; Anas Abu Elezz;
Region Trade Bank - (RT),Iraq, SAP-BO; BankBI-FATCA; BankBI-DWH; BankBI-CRS; BankBI-AML;, Khawar ali; Rawa mohammed; Alaa Adel; Ali Azzat; Hani Zuher; Duaa Ali; Noora Yaqub; Hani Debsi; IT business support; Emad Alawi; Hussein Ali; Farman Murad; Yasr Kamaran; Oula Michel; Andro Abduljabbar;
The National Bank - Palestine (TNB),Palestine, SAP-ETL; Oracle License; BankBI-FATCA; BankBI-DWH;, Shehab Alawi; Aseel Alzaqleh; Hayati Almasri; Waleed Ahmad; Mahmoud Salameh; Ghassan Siyam; Mohammad Romaneh; Batool Derieh; Mohammad Abdulghani;
Tunis International Bank (TIB),Tunisia, SAP-BO; BankBI-MIS;, Mohamed mbarek; Youssef Chefai; Mohamed Chamakh; George Daniel;
Burgan Bank (BUR),Kuwait, SAP-ETL; SAP-BO; BankBI-RR; BankBI-DWH;, Nidhinmon Paul; Joseph Alapatt; Prathibha -; Dennis John; Mahin Yakub Mohammed;
Al Rajhi Bank (RAJ),Jordan, SAP-BO; BankBPM-COL; BankBI-RR; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI-Credit Bureau;, Yousef Sabbah; Mohammad Altabar; Hameed Alaqabawi; Mohammad Al Katou; Ahmad Najem; Rahaf Sulaiman; Mohammad Alsoutari; Diyaa Ali Nahla; Husam Khalil; Jordan Application and ATMs Support; Heba Naser; Emad Steitieh; Dana Al-Khabbaz; Sally Sharqawi; Husam Bloukh;
Housing Bank (HBH) -Bahrain,Bahrain, SAP-BO; Oracle License; BankBI-RR; BankBI-Risk Assessment; BankBI-DWH;, Husain Ahmed; Hasan Nawrooz; Ahmed A.A. ALKoofi; Mohammad A.M. Al-Akash; Merry Benny; Archana Dharmaraj;
Omdurman National Bank (ONB),Sudan, SAP-BO; BankBI-DWH; BankBI-AML;, Eihab Mohamed; Hamed saed; Abdlla Ibrahaim; Compliance Department; Ayman Abdalla Mohamed; Ahmed Suliman Alfaki;
National Microfinance Bank (NMB),Tanzania, BankBI-RR; BankBI-IFRS9; BankBI-Fund Transfer Pricin(FTP); BankBI-DWH; BankBI- Profitability;, Diana Mongula; Nirmal kumar; Hatibu Joshua; Irene Musomi; Frank Tilugulilwa;
AL-Mawarid Bank (MWR),Lebanon, BankBI-DWH; BankBI- Profitability;, Charbel Abi Raad; Touma Chams; Samir Bader;
Trans Iraq Bank for Investment (TRB),Iraq, SAP-BO; BankBI-FATCA; BankBI-DWH; BankBI-Credit Bureau; BankBI-AML;, Basam Burhan; Mustafa -; Rafal -; Dhuha Abduljaleel; Wisam Harb; Ahmed Abdulamir;
The United Bank of Egypt (TUB),Egypt, SAP-ETL; BankBPM-Workflow; BankBPM-KYC/AC; BankBI-RR; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI- Profitability;, Mohamed Essam; Mohamed Saed; IT-APP -; Mohamed Kotb; Wessam Ali; Yasser Ghoniem; Ibrahim Tarek; Hassan Khatab; Hany Elsayad; Ahmed Helmy; Mazen Eldesouky; Karim elshahed; Malek Wessameldin;
Iraqi Islamic Bank (ISB),Iraq, BankBI-MIS; BankBI-GOAML; BankBI-FATCA; BankBI-AML;, Tareq Doshan; Mohammed Qasem; it.support - ISB; AML Offic; Mohammad Al-khalayleh;
International Islamic Bank (IIB),Iraq, SAP-BO; Oracle License; BankBI-GOAML; BankBI-FATCA; BankBI-DWH; BankBI-AML;, Raheeq Ali Majed; Israa -; Taha Saeed; Zeena Shakir; Ali Kadhim; Ali Fuad; Khalid Hatef; Ahmed Abdulridha; Ahmed Naeem; Zeina Mahmood;
Al-Arabiya Islamic Bank (AIB) -Iraq,Iraq, BankBI-RBA; BankBI-AML;, Dashti Mohammed;
Trust International Islamic (TII),Iraq, SAP-BO; BankBI-DWH; BankBI-AML;, Ahmad Raad; Abdulhameed Falih; Ahmed Saad chasib; Saja Ali Khaleel;
Bank of Bagdad Lebanon (BGL),Lebanon, SAP-BO; BankBI-IFRS9; BankBI-DWH;, Wissam Jabbour; Georges Saab;
Rajih Islamic Bank (RIB),Iraq, BankBI-AML;, Sara Mutaa; Majid Hamid; Hadeel Abd;
Alrajhi Bank Kuwait (RAK),Kuwait, SAP-ETL; SAP-BO; BankBI-RR; BankBI-DWH;, Naser Tareef;
Asia Al-iraq Islamic Bank (AII),Iraq, BankBI-AML;, Haider Akram; Mohammad Jamal; Wisam -; amldep -;
Al Baraka Bank Sudan (BBS),Sudan, SAP-ETL; SAP-BO; BankBI-AML;, Essra Abdul Hafiz; Operation & Service Desk -; Mohanad Derar; Mohamed Ibrahim; Babiker Ismail; Mohamed Hamid;
Trade Bank of Iraq (TBI),Iraq, BankBI-FATCA;, Zaid Alhayali; Salam Amaan; IW Managements; IW_APP Management; Marwan Alrawi;
